"pressure","MaterialIDs","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-21500,0,1,0,0,0,0
-21499.96024,0,1,0.01999999955,0.01999999955,0,0
-21499.92049,0,1,0.03999999911,0.03999999911,0,0
-21499.88073,0,1,0.05999999866,0.05999999866,0,0
-21499.84097,0,1,0.07999999821,0.07999999821,0,0
-21499.80122,0,1,0.1000000015,0.1000000015,0,0
-21499.76146,0,1,0.1199999973,0.1199999973,0,0
-21499.72171,0,1,0.1400000006,0.1400000006,0,0
-21499.68195,0,1,0.1599999964,0.1599999964,0,0
-21499.64219,0,1,0.1800000072,0.1800000072,0,0
-21499.60244,0,1,0.200000003,0.200000003,0,0
-21499.80245,0,1,0.2199999988,0.2199999988,0,0
-21500.00246,0,1,0.2399999946,0.2399999946,0,0
-21500.20248,0,1,0.2599999905,0.2599999905,0,0
-21500.40249,0,1,0.2800000012,0.2800000012,0,0
-21500.6025,0,1,0.3000000119,0.3000000119,0,0
-21500.80252,0,1,0.3199999928,0.3199999928,0,0
-21501.00253,0,1,0.3400000036,0.3400000036,0,0
-21501.20254,0,1,0.3600000143,0.3600000143,0,0
-21501.40256,0,1,0.3799999952,0.3799999952,0,0
-21501.60257,0,1,0.400000006,0.400000006,0,0
-21500.8376,0,1,0.4199999869,0.4199999869,0,0
-21500.07262,0,1,0.4399999976,0.4399999976,0,0
-21499.30764,0,1,0.4600000083,0.4600000083,0,0
-21498.54267,0,1,0.4799999893,0.4799999893,0,0
-21497.77769,0,1,0.5,0.5,0,0
-21497.01272,0,1,0.5199999809,0.5199999809,0,0
-21496.24774,0,1,0.5400000215,0.5400000215,0,0
-21495.48277,0,1,0.5600000024,0.5600000024,0,0
-21494.71779,0,1,0.5799999833,0.5799999833,0,0
-21493.95282,0,1,0.6000000238,0.6000000238,0,0
-21496.82364,0,1,0.6200000048,0.6200000048,0,0
-21499.69445,0,1,0.6399999857,0.6399999857,0,0
-21502.56528,0,1,0.6600000262,0.6600000262,0,0
-21505.43609,0,1,0.6800000072,0.6800000072,0,0
-21508.30691,0,1,0.6999999881,0.6999999881,0,0
-21511.17773,0,1,0.7200000286,0.7200000286,0,0
-21514.04854,0,1,0.7400000095,0.7400000095,0,0
-21516.91936,0,1,0.7599999905,0.7599999905,0,0
-21519.79017,0,1,0.7799999714,0.7799999714,0,0
-21522.66099,0,1,0.8000000119,0.8000000119,0,0
-21511.94245,0,1,0.8199999928,0.8199999928,0,0
-21501.22392,0,1,0.8399999738,0.8399999738,0,0
-21490.50535,0,1,0.8600000143,0.8600000143,0,0
-21479.78681,0,1,0.8799999952,0.8799999952,0,0
-21469.06827,0,1,0.8999999762,0.8999999762,0,0
-21458.3497,0,1,0.9200000167,0.9200000167,0,0
-21447.63117,0,1,0.9399999976,0.9399999976,0,0
-21436.91263,0,1,0.9599999785,0.9599999785,0,0
-21426.19406,0,1,0.9800000191,0.9800000191,0,0
-21415.47552,0,1,1,1,0,0
-21455.48261,0,1,1.019999981,1.019999981,0,0
-21495.48969,0,1,1.039999962,1.039999962,0,0
